Sample,Date,Tide,Well,Depth,DOC,TN,,UniqueID,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,sample,run_name,UniqueID,W,D,tide
010322_L_W1D1,10322,L,1,1,714.1288601,351.5014243,,010322_L_W1D1,0.602852214,0.104107878,0.48460486,0.782937574,0.435945939,0.029712209,0.477950503,0.487538506,0.480987625,1.790159802,1.465818597,1.373317711,15.72268987,1.033973535,0.618957214,17.46469358,0.010507851,415.2354429,Group004Sample0003,run2,010322_L_W1D1,W1,D1,L
010322_L_W1D2,10322,L,1,2,630.328582,290.4592088,,010322_L_W1D2,0.578992523,0.07940436,0.469883858,0.745950052,0.369521498,0.046313253,0.469454325,0.474015962,0.474045555,1.694495991,1.08517202,1.366301429,16.60670297,1.03183524,0.629913299,14.40360599,0.009651857,347.2550375,Group004Sample0004,run2,010322_L_W1D2,W1,D2,L
010322_L_W1D3,10322,L,1,3,492.2017451,118.0738504,,010322_L_W1D3,0.527635407,0.052689667,0.43825485,0.665927087,0.207717857,0.014902874,0.45364579,0.446159464,0.442667536,1.437435075,0.707203865,1.214553897,17.06258276,1.029753033,0.658112366,8.554491338,0.007914505,229.4022751,Group004Sample0005,run2,010322_L_W1D3,W1,D3,L
010322_L_W1D4,10322,L,1,4,756.590998,89.87663047,,010322_L_W1D4,0.600338445,0.112874338,0.483885239,0.777572373,0.468765541,0.031997608,0.478411521,0.487174409,0.481030151,1.805556249,1.717402485,1.37599401,14.02628585,1.03286092,0.622302509,19.6736123,0.011483048,464.1050254,Group004Sample0006,run2,010322_L_W1D4,W1,D4,L
010322_L_W2D1,10322,L,2,1,648.6872122,331.2611108,,010322_L_W2D1,0.576933172,0.085379777,0.468735699,0.742629841,0.398578519,0.05144691,0.469561493,0.473764973,0.47398378,1.66978686,1.289464187,1.366242784,15.45028891,1.033119029,0.631183495,15.88802673,0.010376248,370.2689144,Group004Sample0007,run2,010322_L_W2D1,W2,D1,L
010322_L_W2D2,10322,L,2,2,504.6906092,198.0391527,,010322_L_W2D2,0.552775621,0.057794124,0.45465047,0.704078583,0.254582503,0.050230895,0.462779034,0.460994905,0.468637921,1.559897176,1.010850199,1.352463582,17.91769816,1.030936561,0.645738247,10.47786742,0.007885795,296.4825049,Group005Sample0001,run2,010322_L_W2D2,W2,D2,L
010322_L_W2D3,10322,L,2,3,305.8678928,84.31857611,,010322_L_W2D3,0.514498871,0.024139769,0.432921359,0.643389545,0.144315934,0.031174738,0.405644231,0.443062231,0.302566404,1.018295399,0.583586406,0.935572043,16.11805732,1.029395054,0.672875961,6.322772545,0.007309822,171.5398811,Group005Sample0005,run3,010322_L_W2D3,W2,D3,L
010322_L_W3D1,10322,L,3,1,289.5605585,80.30442574,,010322_L_W3D1,0.505556499,0.043887725,0.425089339,0.632656806,0.157971324,0.033050025,0.36284146,0.435435717,0.281651766,0.961979421,0.607441536,0.872256172,15.03535572,1.02788444,0.67191143,6.386414827,0.007680856,165.2928275,Group005Sample0002,run2,010322_L_W3D1,W3,D1,L
010322_L_W3D2,10322,L,3,2,324.5855779,197.7446508,,010322_L_W3D2,0.513933596,0.042082498,0.430301755,0.643850134,0.174841643,0.028842325,0.450285898,0.440374682,0.370609113,1.256690803,0.664362752,0.995586145,16.4038766,1.028105404,0.668325954,7.098386033,0.007251314,198.4541454,Group005Sample0003,run2,010322_L_W3D2,W3,D2,L
010322_L_W3D3,10322,L,3,3,404.3269751,202.9921395,,010322_L_W3D3,0.530677753,0.047479698,0.440776561,0.671784904,0.222676111,0.024062178,0.455941142,0.449150109,0.462820505,1.464593936,0.892732557,1.306481496,18.53531629,1.029281004,0.656127517,8.958500473,0.007435603,265.5892275,Group005Sample0004,run2,010322_L_W3D3,W3,D3,L
